# root file_name                                               ; Theory_XS fb;  Event_Number
BulkGravWW600.root  ;  406.830851   ;  50000
BulkGravWW700.root  ;  165.094354   ;  49800
BulkGravWW750.root  ;  110.500282   ;  50000
BulkGravWW800.root  ;  76.058293   ;  50000
BulkGravWW900.root  ;  38.216100   ;  50000
BulkGravWW1000.root ;  20.499693   ;  50000
ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1.root   ;  47130.     ; 984400
ST_t-channel_antitop_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1.root   ;  26066.  ; 1680200
ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1.root   ;  43798.  ; 3299800
ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1.root   ;  35600.  ; 988500
ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1.root   ;  35600.  ; 995600
TT_TuneCUETP8M1_13TeV-powheg-pythia8.root  ; 831760.  ; 19757190
WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ; 1347000. ; 10152718
WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ; 360000. ; 5221599
WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ; 48900. ; 1745914
WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ; 12800. ; 4041997
WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root ; 5260.  ; 1574633
WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root; 1330. ; 255637
WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root   ; 30.89 ; 253036
WWToLNuQQ_13TeV-powheg.root   ;  49997.  ;1951600  ;
WZTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8.root   ; 10710. ; 24714550
ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8.root   ; 3220.  ;  18790122
singleMuon15DOct.root    ; 1.  ; 1
singleMuon15Dv4.root    ; 1.  ; 1
singleEl15DOct.root    ; 1.  ; 1
singleEl15Dv4.root    ; 1.  ; 1
